2.0.0.0;2.2.2.1 	
2.2.2.3;2.15.255.255 	
2.16.2.0;2.16.3.255 	
2.16.54.0;2.16.54.255 	
2.16.117.0;2.16.120.255 	
2.16.156.0;2.16.156.255 	
2.16.177.0;2.16.177.255 	
2.17.34.0;2.17.34.255 	
2.17.36.0;2.17.36.255 	
2.17.43.0;2.17.43.255 	
2.17.102.0;2.17.102.255 	
2.17.106.0;2.17.106.255 	
2.17.108.0;2.17.111.255 	
2.17.128.0;2.17.130.255 	
2.18.96.0;2.18.113.255 	
2.18.116.0;2.18.116.255 	
2.18.121.0;2.18.122.255 	
2.18.124.0;2.18.124.255 	
2.18.126.0;2.18.126.255 	
2.18.160.0;2.18.176.255 	
2.18.241.0;2.18.241.255 	
2.18.244.0;2.18.245.255 	
2.19.80.0;2.19.80.255 	
2.19.85.0;2.19.86.255 	
2.19.89.0;2.19.89.255 	
2.19.95.0;2.19.95.255 	
2.19.218.0;2.19.223.255 	
2.20.8.0;2.20.9.255 	
2.20.13.0;2.20.13.255 	
2.20.28.0;2.20.31.255 	
2.20.46.0;2.20.47.255 	
2.20.52.0;2.20.52.255 	
2.20.178.0;2.20.178.255 	
2.20.192.0;2.20.207.255 	
2.20.242.0;2.20.242.255 	
2.21.0.0;2.21.0.255 	
2.21.104.0;2.21.107.255 	
2.21.174.0;2.21.174.255 	
2.22.22.0;2.22.23.255 	
2.22.29.0;2.22.29.255 	
2.22.48.0;2.22.49.255 	
2.22.126.0;2.22.127.255 	
2.22.147.0;2.22.147.255 	
2.22.160.0;2.22.161.255 	
2.22.165.0;2.22.167.255 	
2.22.171.0;2.22.175.255 	
2.22.181.0;2.22.181.255 	
2.22.183.0;2.22.184.255 	
2.22.187.0;2.22.188.255 	
2.22.192.0;2.22.223.255 	
2.22.226.0;2.22.226.255 	
2.23.161.0;2.23.165.255 	
2.56.3.0;2.56.3.255 	
2.56.80.0;2.56.83.255 	
2.56.102.0;2.56.103.255 	
2.56.156.0;2.56.159.255 	
2.56.215.0;2.56.215.255 	
2.57.72.0;2.57.75.255 	
2.57.140.0;2.57.143.255 	
2.57.212.0;2.57.212.255 	
2.57.214.0;2.57.215.255 	
2.57.232.0;2.57.239.255 	
2.58.120.0;2.58.123.255 	
2.59.22.0;2.59.23.255 	
2.59.68.0;2.59.75.255 	
2.59.144.0;2.59.147.255 	
2.59.188.0;2.59.191.255 	
2.59.236.0;2.59.239.255 	
2.255.248.18;2.255.248.18 	
2.255.249.40;2.255.249.40 	
2.255.249.138;2.255.249.138 	
2.255.251.215;2.255.251.215 	
2.255.252.0;2.255.252.0 	
2.255.252.3;2.255.252.3 	
2.255.252.6;2.255.252.7 	
2.255.252.9;2.255.252.11 	
2.255.252.13;2.255.252.14 	
2.255.252.16;2.255.252.19 	
2.255.252.21;2.255.252.22 	
2.255.252.24;2.255.252.241 	
2.255.252.243;2.255.252.247 	
2.255.252.254;2.255.252.255 	
2.255.253.191;2.255.253.192 	
2.255.254.47;2.255.254.47 	
2.255.254.119;2.255.254.119 	
4.69.130.125;4.69.130.125 	
4.69.130.136;4.69.130.136 	
4.69.208.18;4.69.208.18 	
4.69.208.22;4.69.208.22 	
4.69.208.106;4.69.208.106 	
4.69.208.110;4.69.208.110 	
4.69.240.15;4.69.240.15 	
4.69.241.150;4.69.241.151 	
5.10.128.0;5.10.135.255 	
5.10.139.0;5.10.139.255 	
5.11.10.88;5.11.10.89 	
5.11.10.92;5.11.10.93 	
5.11.10.120;5.11.10.120 	
5.11.10.122;5.11.10.122 	
5.11.10.148;5.11.10.148 	
5.11.10.152;5.11.10.154 	
5.11.10.177;5.11.10.177 	
5.11.10.188;5.11.10.188 	
5.11.10.208;5.11.10.208 	
5.11.10.216;5.11.10.216 	
5.11.10.218;5.11.10.218 	
5.11.10.250;5.11.10.250 	
5.11.10.252;5.11.10.252 	
5.11.56.0;5.11.59.255 	
5.23.10.15;5.23.10.15 	
5.23.24.0;5.23.25.255 	
5.23.31.0;5.23.31.255 	
5.23.40.0;5.23.47.255 	
5.35.168.0;5.35.171.127 	
5.35.172.0;5.35.175.255 	
5.35.224.0;5.35.224.255 	
5.35.227.0;5.35.228.255 	
5.35.230.0;5.35.230.255 	
5.35.234.0;5.35.235.255 	
5.35.240.0;5.35.247.255 	
5.35.249.0;5.35.251.255 	
5.35.253.0;5.35.255.255 	
5.39.0.0;5.39.0.255 	
5.39.1.4;5.39.1.47 	
5.39.1.56;5.39.1.79 	
5.39.1.96;5.39.2.111 	
5.39.2.128;5.39.2.215 	
5.39.2.220;5.39.2.227 	
5.39.2.232;5.39.2.251 	
5.39.3.0;5.39.4.31 	
5.39.4.36;5.39.4.63 	
5.39.4.104;5.39.4.123 	
5.39.4.128;5.39.5.103 	
5.39.5.108;5.39.5.167 	
5.39.5.172;5.39.5.251 	
5.39.6.16;5.39.6.63 	
5.39.6.128;5.39.6.151 	
5.39.6.156;5.39.7.103 	
5.39.7.108;5.39.7.199 	
5.39.7.204;5.39.8.15 	
5.39.8.32;5.39.8.47 	
5.39.8.64;5.39.8.175 	
5.39.8.184;5.39.9.3 	
5.39.9.8;5.39.9.19 	
5.39.9.28;5.39.9.79 	
5.39.9.92;5.39.9.107 	
5.39.9.112;5.39.10.7 	
5.39.10.16;5.39.10.175 	
5.39.10.192;5.39.10.239 	
5.39.10.248;5.39.10.255 	
5.39.11.16;5.39.11.63 	
5.39.11.68;5.39.11.159 	
5.39.11.168;5.39.11.191 	
5.39.11.208;5.39.12.7 	
5.39.12.16;5.39.12.59 	
5.39.12.64;5.39.12.199 	
5.39.12.208;5.39.12.243 	
5.39.12.248;5.39.13.143 	
5.39.13.160;5.39.14.143 	
5.39.14.160;5.39.14.231 	
5.39.14.240;5.39.15.127 	
5.39.15.132;5.39.15.135 	
5.39.15.144;5.39.15.191 	
5.39.15.200;5.39.15.219 	
5.39.15.224;5.39.16.59 	
5.39.16.64;5.39.17.111 	
5.39.17.116;5.39.18.175 	
5.39.18.180;5.39.18.183 	
5.39.18.188;5.39.18.191 	
5.39.18.248;5.39.18.251 	
5.39.19.0;5.39.19.35 	
5.39.19.40;5.39.19.79 	
5.39.19.84;5.39.19.127 	
5.39.19.132;5.39.19.163 	
5.39.19.168;5.39.19.199 	
5.39.19.204;5.39.19.223 	
5.39.19.240;5.39.20.135 	
5.39.20.140;5.39.20.151 	
5.39.20.160;5.39.20.183 	
5.39.20.188;5.39.20.247 	
